title,release_date,length,type,director,actors,synopsis,sessions,rating
"Un an, une nuit",3 mai 2023,2h 10min,Drame,Isaki Lacuesta,"['Noémie Merlant', 'Nahuel Perez Biscayart', 'Quim Gutiérrez']","Le soir du 13 novembre 2015, Ramón et Céline, un jeune couple, assistent au concert du Bataclan. Ils réchappent à l’attaque terroriste, mais ne parviennent pas à reprendre une vie normale. Comment surmonter l’épreuve et se tourner de nouveau, ensemble, vers la vie ?",89,"{'critics': 2.5, 'audience': 3.1}"
Faces cachées,24 mai 2023,1h 40min,Thriller,"Joe Lawlor, Christine Molloy","['Ann Skelly', 'Orla Brady', 'Aidan Gillen']","Rose, étudiante en médecine vétérinaire, décide de contacter Ellen, sa mère biologique qu’elle n’a pas connue. C’est une actrice à succès qui ne veut pas développer de relation avec Rose. Cette dernière se montre très tenace et Ellen finira par révéler un secret qu'elle a caché pendant plus de 20 ans. À la suite de cette découverte, Rose va se rapprocher de son père biologique…",78,"{'critics': 2.4, 'audience': 3.1}"
Sublime,17 mai 2023,1h 40min,"Drame, Romance",Mariano Biasin,"['Martin Miller', 'Teo Inama Chiabrando', 'Azul Mazzeo']","Manuel, 16 ans, est un adolescent comme les autres. Dans sa petite ville côtière d’Argentine, il traîne avec ses amis et sa petite-amie, va à la plage, et joue de la basse dans un groupe de rock. Une routine parfaite pour un garçon de son âge. Mais sa vie se complique lorsqu’il commence à ressentir quelque chose de spécial pour son meilleur ami Felipe.",95,"{'critics': 2.8, 'audience': 2.7}"
A vol d'oiseaux,5 avril 2023,0h 57min,"Animation, Famille",,[],"À Vol d’oiseaux rassemble trois courts métrages d’animation délicats, sensibles. Un pur moment de bonheur, aérien, à la fin duquel on se sent pousser des ailes ! Un programme comme une parenthèse de douceur, où les adultes retrouvent leur âme d’enfant, les plus jeunes grandissent dans l’espoir d’une vie bienveillante, où chacun est incité à sortir de sa coquille pour voler de ses propres ailes.",90,"{'critics': 3.8, 'audience': 3.5}"
Le Petit hérisson dans la brume et autres merveilles,5 avril 2023,0h 39min,"Animation, Famille","Yuri Norstein, Roman Kachanov, Eduard Nazarov","['Philippe Caubère', 'Bruno Raffaelli', 'Anna Choupisson']","Quatre courts métrages, pour quatre moments de cinéma qui prouvent toute l’inventivité et la puissance poétique d’un cinéma d’animation fondateur, mais encore trop méconnu en France.",77,"{'critics': 4.3, 'audience': 2.8}"
About Kim Sohee,5 avril 2023,2h 17min,"Policier, Drame",July Jung,"['Doona Bae', 'Kim Si-eun', 'Choi Hee-jin']","Pour son stage de fin d’étude, Kim Sohee intègre un centre d’appel de Korea Telecom. En quelques mois, son moral décline sous le poids de conditions de travail dégradantes et d’objectifs de plus en plus difficiles à tenir.",65,"{'critics': 3.8, 'audience': 4.1}"
Les Aventures de Ricky,12 avril 2023,1h 25min,"Aventure, Animation, Famille","Mette Rank-Tange, Benjamin Quabeck","['Jay Myers', 'Jonathan Failla', 'Jeffrey Hylton']","Ricky, un jeune moineau intrépide adopté par une famille de cigognes, est embarqué dans une aventure épique au cœur de l’Afrique. Accompagné de ses fidèles amis Olga la chouette pygmée et Kiki la perruche disco, il se lance à la poursuite d’un joyau légendaire…",68,"{'critics': 3.3, 'audience': 2.4}"
Le Paradis,10 mai 2023,1h 23min,"Drame, Romance",Zeno Graton,"['Khalil Gharbia', 'Julien De Saint-Jean', 'Eye Haïdara']","Joe, 17 ans, est sur le point de sortir d’un centre fermé pour mineurs délinquants. Si son juge approuve sa libération, il ira vivre en autonomie. Mais l'arrivée d'un nouveau jeune, William, va remettre en question son désir de liberté.",67,"{'critics': 3.4, 'audience': 3.7}"
Trenque Lauquen - Partie 1,3 mai 2023,2h 09min,Drame,Laura Citarella,"['Laura Paredes', 'Juliana Muras', 'Ezequiel Pierri']",Trenque Lauquen partie 1. Une femme disparaît. Deux hommes partent à sa recherche aux alentours de la ville de Trenque Lauquen. Ils l’aiment tous les deux et chacun a ses propres soupçons quant aux raisons de cette disparition.,73,"{'critics': 4.2, 'audience': 3.6}"
La Naissance des oasis,29 mars 2023,0h 41min,"Animation, Famille","Elena Walf, Jeremy Depuydt, Lucie Sunková",[],"Un jardin plein de mystères, des gouttes de pluie qui s’unissent en communauté éphémère, une oasis drôle et colorée ou encore des bergères qui dansent avec les nuages… Programme de 5 courts métrages d’animation.",68,"{'critics': 3.7, 'audience': 2.7}"
Trenque Lauquen - Partie 2,3 mai 2023,2h 13min,Drame,Laura Citarella,"['Laura Paredes', 'Juliana Muras', 'Ezequiel Pierri']",Trenque Lauquen partie 2. Une femme disparaît. Deux hommes partent à sa recherche aux alentours de la ville de Trenque Lauquen. Ils l’aiment tous les deux et chacun a ses propres soupçons quant aux raisons de cette disparition.,69,"{'critics': 4.2, 'audience': 3.5}"
"Mon chat et moi, la grande aventure de Rroû",5 avril 2023,1h 23min,"Aventure, Famille",Guillaume Maidatchevsky,"['Capucine Sainson-Fabresse', 'Corinne Masiero', 'Lucie Laurent']","Rroû est un chaton vif et curieux qui découvre la vie sur les toits de Paris. Son destin bascule lorsque Clémence, dix-ans, l’adopte et l’emmène dans sa maison de campagne au cœur des montagnes. Débute alors une extraordinaire aventure pour Clémence et Rroû, qui vont grandir ensemble, croiser la route de la mystérieuse Madeleine et vivre une merveilleuse histoire qui va les transformer à tout jamais.",50,"{'critics': 2.7, 'audience': 3.5}"
